native,latin,diacritic
়,,diacritic
ঁ,,diacritic
ং,,diacritic
ঃ,,diacritic
া,ā,diacritic
ি,i,diacritic
ী,ī,diacritic
ু,u,diacritic
ূ,ū,diacritic
ৃ,ṝ,diacritic
ে,ē,diacritic
ৈ,ai,diacritic
ো,o,diacritic
ৌ,au,diacritic
্,,diacritic
ৗ,,diacritic
​,​,
।,.,
´,´,
০,0,
১,1,
২,2,
৩,3,
৪,4,
৫,5,
৬,6,
৭,7,
৮,8,
৯,9,
অ,a,
আ,ā,
ই,i,
ঈ,ī,
উ,u,
ঊ,ū,
ঋ,ṛ,
এ,ē,
ঐ,ai,
ও,ō,
ঔ,au,
ক,ka,
খ,kha,
গ,ga,
ঘ,gha,
ঙ,ṅa,
চ,ca,
ছ,cha,
জ,ja,
ঝ,jha,
ঞ,ña,
ট,ṭa,
ঠ,ṭha,
ড,ḍa,
ড়,ṛa,
ঢ,ḍha,
ঢ়,ṛha,
ণ,ṇa,
ত,ta,
ৎ,t,
থ,tha,
দ,da,
ধ,dha,
ন,na,
প,pa,
ফ,pha,
ব,ba,
ভ,bha,
ম,ma,
য,ya,
য়,ẏa,
র,ra,
ল,la,
শ,śa,
ষ,ṣa,
স,sa,
হ,ha,
